100 36   2
   1.7222220e-01   9.0564550e-02   0.0000000e+00
   1.7777780e-01   9.0564550e-02   0.0000000e+00
   1.8333330e-01   9.0564550e-02   0.0000000e+00
   1.8888890e-01   9.0564550e-02   0.0000000e+00
   1.9444440e-01   9.0564550e-02   0.0000000e+00
   2.0000000e-01   9.0564550e-02   0.0000000e+00
   2.0555560e-01   9.0564550e-02   0.0000000e+00
   2.1111110e-01   9.0564550e-02   0.0000000e+00
   2.1666670e-01   9.0564550e-02   0.0000000e+00
   2.2222220e-01   9.0564550e-02   0.0000000e+00
   2.2777780e-01   9.0564550e-02   0.0000000e+00
   2.3333330e-01   9.0564550e-02   0.0000000e+00
   2.3888890e-01   9.0564550e-02   0.0000000e+00
   2.4444440e-01   9.0564550e-02   0.0000000e+00
   2.5000000e-01   9.0564550e-02   0.0000000e+00
   2.5555560e-01   9.1392760e-02   0.0000000e+00
   2.6111110e-01   9.2220870e-02   0.0000000e+00
   2.6666670e-01   9.3048880e-02   0.0000000e+00
   2.7222220e-01   9.3876790e-02   0.0000000e+00
   2.7777780e-01   9.4704590e-02   0.0000000e+00
   2.8333330e-01   9.5532290e-02   0.0000000e+00
   2.8888890e-01   9.6359880e-02   0.0000000e+00
   2.9444440e-01   9.7187370e-02   0.0000000e+00
   3.0000000e-01   9.8014750e-02   0.0000000e+00
   3.0555560e-01   9.8842020e-02   0.0000000e+00
   3.1111110e-01   9.9669180e-02   0.0000000e+00
   3.1666670e-01   1.0049620e-01   0.0000000e+00
   3.2222220e-01   1.0132320e-01   0.0000000e+00
   3.2777780e-01   1.0215000e-01   0.0000000e+00
   3.3333330e-01   1.0297670e-01   0.0000000e+00
   3.3888890e-01   1.0380330e-01   0.0000000e+00
   3.4444440e-01   1.0462980e-01   0.0000000e+00
   3.5000000e-01   1.0545780e-01   0.0000000e+00
   3.5555560e-01   1.0628410e-01   0.0000000e+00
   3.6111110e-01   1.0711020e-01   0.0000000e+00
   3.6666670e-01   1.0793630e-01   0.0000000e+00
   3.7222220e-01   1.0876220e-01   0.0000000e+00
   3.7777780e-01   1.0958800e-01   0.0000000e+00
   3.8333330e-01   1.1041370e-01   0.0000000e+00
   3.8888890e-01   1.1123920e-01   0.0000000e+00
   3.9444440e-01   1.1206470e-01   0.0000000e+00
   4.0000000e-01   1.1289000e-01   0.0000000e+00
   4.0555560e-01   1.1371520e-01   0.0000000e+00
   4.1111110e-01   1.1454020e-01   0.0000000e+00
   4.1666670e-01   1.1536510e-01   0.0000000e+00
   4.2222220e-01   1.1618990e-01   0.0000000e+00
   4.2777780e-01   1.1701460e-01   0.0000000e+00
   4.3333330e-01   1.1783910e-01   0.0000000e+00
   4.3888890e-01   1.1866350e-01   0.0000000e+00
   4.4444440e-01   1.1948780e-01   0.0000000e+00
   4.5000000e-01   1.2031190e-01   0.0000000e+00
   4.5555560e-01   1.2113590e-01   0.0000000e+00
   4.6111110e-01   1.2195970e-01   0.0000000e+00
   4.6666670e-01   1.2278340e-01   0.0000000e+00
   4.7222220e-01   1.2360700e-01   0.0000000e+00
   4.7777780e-01   1.2443040e-01   0.0000000e+00
   4.8333330e-01   1.2525370e-01   0.0000000e+00
